"proposed, rho =0.0006",phl,100,100,96,99,95,95,92,90,90,87,82,83,79,81,75,69,58,54,59,49,54,56,42,46,45
"proposed, rho =0.0008",phm,100,100,100,100,99,99,100,100,98,97,98,100,96,99,97,86,85,90,84,86,79,84,81,77,81
"proposed, rho =0.0010",phh,100,100,98,100,98,100,99,100,100,99,99,98,100,98,96,99,99,99,96,97,96,93,96,98,92
"conventional, rho =0.0006",chl,66,36,23,14,11,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"conventional, rho =0.0008",chm,72,56,37,19,15,7,5,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"conventional, rho =0.0010",chh,77,61,42,30,23,19,10,6,3,6,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0
